Video Title,Comment,Processed_Comment,English_Translation,Polarity,Sentiment,Compound_Terms,Aspect_Terms,Aspect_Sentiments
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"Tanmay, Samay have common  ""May"" Netflix love may month",tanmay samay common may netflix love may month,Tanmay Samay Common May Netflix Love May Month,0.6369,Positive,"['Tanmay', 'Samay', 'Common', 'May', 'Netflix', 'May']",[],{}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"7:42 nidhi razdan , harvard University 😂😂😂 kis kis ko reference pta hai",nidhi razdan harvard university ki ki ko reference pta hai,Nidhi Razdan Harvard University Know Refrains,0.0,Neutral,"['Razdan', 'Harvard', 'Know']",[],{}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Why didn't you invite mojorojo? Not fair.,didnt invite mojorojo fair,Didn’t Invite Mojorojo Fair,0.4404,Positive,['Mojorojo'],[],{}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Great show🎉,great show,great show,0.6249,Positive,[],['show'],{'show': 'Neutral'}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,I AM SORRY BUT THERE''S NO OG GANG WITHOUT ROHAN JOSHI!!,sorry there og gang without rohan joshi,sory there og Gang without rohan joshi,0.0,Neutral,['rohan'],[],{}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Udta panjab,udta panjab,Flying Punjab,0.0,Neutral,['Flying'],[],{}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Singh is king me Dass sad singh hta ha !,singh king das sad singh hta ha,Singh King Dus Singh Singh Hatai Ha,0.34,Positive,"['Singh', 'King', 'Dus', 'Singh', 'Singh', 'Hatai']",[],{}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,KraY,kray,kray,0.0,Neutral,[],[],{}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,its only me or others also feel like ravi kishan is acting  like salman khan,others also feel like ravi kishan acting like salman khan,others also feel like Ravi kishan acting like salman khan,0.6124,Positive,['salman'],"['others', 'Ravi']","{'others': 'Neutral', 'Ravi': 'Neutral'}"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Bad ye log ko gandy hasi jhelna mushkil hai,bad ye log ko gandy hasi jhelna mushkil hai,After these people are difficult to face dirty laughter,-0.296,Negative,[],"['people', 'laughter']","{'people': 'Neutral', 'laughter': 'Neutral'}"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,This show is awesome! Start to finish it leaves you with a happy vibe.,show awesome start finish leaf happy vibe,Show Awesome Start Finish Leaf Happy Vibe,0.8316,Positive,"['Awesome', 'Start', 'Finish', 'Leaf', 'Happy']",[],{}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Sacred game me Saif Ali Khaan ek serious sikh tha,sacred game saif ali khaan ek serious sikh tha,Sacred game saif ali khan ek serial sikha tha,0.0,Neutral,"['ek', 'serial', 'sikha']","['game', 'saif']","{'game': 'Negative', 'saif': 'Neutral'}"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"TVF = Simple, clean and touching",tvf simple clean touching,TVF Simple Clean Touching,0.4019,Positive,"['TVF', 'Simple', 'Clean']",[],{}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Iske bare mein to mere ko maloom hi nahin tha,iske bare mein mere ko maloom hi nahin tha,I did not know about it,0.0,Neutral,[],[],{}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"Netflix stop bringing this format.. it's annoying. Nobidy wants to see tanmay. 
I mean, have some class Netflix.",netflix stop bringing format annoying nobidy want see tanmay mean class netflix,Netflix Stop Bringing Format Annoying Nobody Wants See Tanmay Meaning Class Netflix,-0.5994,Negative,"['Bringing', 'Format', 'Annoying', 'Tanmay', 'Meaning', 'Class']",[],{}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,How did you manage to get Vishal bhai to give that reaction for thumbnail?,manage get vishal bhai give reaction thumbnail,Manage Get Vishal Bhai Give Reaction Thumbnail,0.0,Neutral,"['Vishal', 'Bhai', 'Give', 'Reaction']",[],{}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Video sahi nahi lagti ab,video sahi nahi lagti ab,The video doesn't seem right now,0.0,Neutral,[],['video'],{'video': 'Neutral'}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Is it technical guruji,technical guruji,Technical guru,0.0,Neutral,[],['guru'],{'guru': 'Neutral'}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Missing Prisoner OP😢,missing prisoner op,Missing Prisoneer Op,-0.296,Negative,['Prisoneer'],[],{}
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,12:45  anyone see black water?,anyone see black water,anyone see black water,0.0,Neutral,[],['water'],{'water': 'Neutral'}
