Video Title,Comment,English_Translation,Processed_Comment,Tokenized_POS,Polarity,Aspect_Sentiment
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Joke kitna bhi high iq marlo vibes samay raina hi deta hai,No matter how high the time of Marlow Vibes gives Raina,matter high time marlow vibe give raina,"[('matter', 'VERB'), ('high', 'ADJ'), ('time', 'NOUN'), ('marlow', 'ADJ'), ('vibe', 'NOUN'), ('give', 'VERB'), ('raina', 'PROPN')]",0.0258,"{'Aspect': ['vibe'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Mujhe q toda bhai🫠🫠,Mujhe Q Toda Bhai🫠🫠,mujhe q toda bhai,"[('mujhe', 'PROPN'), ('q', 'PROPN'), ('toda', 'NOUN'), ('bhai', 'NOUN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Vo sb to thk bt comedy??,Vo sb to thk bt comedy ??,vo sb thk bt comedy,"[('vo', 'INTJ'), ('sb', 'PROPN'), ('thk', 'PROPN'), ('bt', 'PROPN'), ('comedy', 'NOUN')]",0.3612,"{'Aspect': ['comedy'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,A bunch of unemployed people...,A Bunch of Unemployed People ...,bunch unemployed people,"[('bunch', 'ADJ'), ('unemployed', 'ADJ'), ('people', 'NOUN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Tanmay op❤,Tanmay op Also,tanmay op also,"[('tanmay', 'VERB'), ('op', 'NOUN'), ('also', 'ADV')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Rohan op in the chat.,Rohan op in the chat.,rohan op chat,"[('rohan', 'PROPN'), ('op', 'PROPN'), ('chat', 'VERB')]",0,"{'Aspect': ['chat'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Rohan  pointing sumaira at last 🤣😂😂 3:06......,Rohan Pointing Sumaira at Last 🤣dev 3:06 ......,rohan pointing sumaira last dev,"[('rohan', 'PROPN'), ('pointing', 'PROPN'), ('sumaira', 'PROPN'), ('last', 'ADJ'), ('dev', 'NOUN')]",0,"{'Aspect': ['rohan'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Isnt this old?,Isnt this old?,isnt old,"[('is', 'AUX'), ('nt', 'PART'), ('old', 'ADJ')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,"Smooth Rohan bhai smooth

Also I noticed that our *Snorlax* turned into *Munchlax* 

Aage kuch bolunga to vivad ho jayega isliye simply Netflix pe dekhunga 🙂","Smooth rohan bhai smooth

Also i noticed that our *snorlax *turned into *munchlax *

Aage kuch bolunga to vivad ho jayega isliye simply netflix pe dekhunga 🙂",smooth rohan bhai smooth also noticed snorlax turned munchlax aage kuch bolunga vivad ho jayega isliye simply netflix pe dekhunga,"[('smooth', 'PROPN'), ('rohan', 'PROPN'), ('bhai', 'PROPN'), ('smooth', 'PROPN'), ('also', 'ADV'), ('noticed', 'VERB'), ('snorlax', 'NOUN'), ('turned', 'VERB'), ('munchlax', 'ADJ'), ('aage', 'NOUN'), ('kuch', 'PROPN'), ('bolunga', 'PROPN'), ('vivad', 'PROPN'), ('ho', 'PROPN'), ('jayega', 'PROPN'), ('isliye', 'PROPN'), ('simply', 'ADV'), ('netflix', 'PROPN'), ('pe', 'ADP'), ('dekhunga', 'ADV')]",0,"{'Aspect': ['netflix'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Rohan daddy joshi,Rohan daddy joshi,rohan daddy joshi,"[('rohan', 'PROPN'), ('daddy', 'PROPN'), ('joshi', 'PROPN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,I don't know I think i maybe  new to this but is this supposed to be funny?😢,I don't know i think I maybe new to this but is this supposed to be funny? 😢,know think maybe new supposed funny,"[('know', 'VERB'), ('think', 'VERB'), ('maybe', 'ADV'), ('new', 'ADJ'), ('supposed', 'VERB'), ('funny', 'NOUN')]",0.4404,"{'Aspect': ['new', 'funny'], 'Sentiment': ['Neutral', 'Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,2:38 are these guys pissed off or they just don't have to show their emotions off?,2:38 Are these guys pissed off or they just don't have their emotions off?,guy pissed emotion,"[('guy', 'NOUN'), ('pissed', 'VERB'), ('emotion', 'NOUN')]",-0.6369,"{'Aspect': ['guy'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,"Seriously, not a single joke a funny and these people seem to laughing their ass off. Well, they are paid for it.","Seriously, not a single joke a funny and these people see to laughing their ass off.Well, they are paid for it.",seriously single joke funny people see laughing as well paid,"[('seriously', 'ADV'), ('single', 'ADJ'), ('joke', 'NOUN'), ('funny', 'ADJ'), ('people', 'NOUN'), ('see', 'VERB'), ('laughing', 'VERB'), ('as', 'ADV'), ('well', 'ADV'), ('paid', 'VERB')]",0.8271,"{'Aspect': ['joke'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Thanks,Thanks,thanks,"[('thanks', 'NOUN')]",0.4404,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Bakwas,Nonsense,nonsense,"[('nonsense', 'NOUN')]",-0.4019,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Bhai Muje kyu toda🥲,Bhai muje kyu toda🥲,bhai muje kyu toda,"[('bhai', 'PROPN'), ('muje', 'PROPN'), ('kyu', 'PROPN'), ('toda', 'PROPN')]",0,"{'Aspect': ['bhai'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Aamir khan gajjab ho gaya,Aamir Khan is amazing,aamir khan amazing,"[('aamir', 'PROPN'), ('khan', 'PROPN'), ('amazing', 'NOUN')]",0.5859,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Arbaaz naam ke ladke ke sath tiktok wala legit tha bhai 🤣🤣🤣,Arbaaz naam ke ladke ke sath tiktok wala legit tha bhai 🤣🤣🤣,arbaaz naam ke ladke ke sath tiktok wala legit tha bhai,"[('arbaaz', 'PROPN'), ('naam', 'PROPN'), ('ke', 'PROPN'), ('ladke', 'PROPN'), ('ke', 'PROPN'), ('sath', 'PROPN'), ('tiktok', 'NOUN'), ('wala', 'NOUN'), ('legit', 'PROPN'), ('tha', 'PROPN'), ('bhai', 'PROPN')]",0,"{'Aspect': [], 'Sentiment': []}"
