Video Title,Comment,Processed_Comment,English_Translation,Tokenized_POS,NOUNS,Aspect_with_Sentiment,Compound_Terms
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"Pura dekh liya
Nice show paisa wasool ❤",pura dekh liya nice show paisa wasool,Full watched Nice Show,"[('Full', 'ADV'), ('watched', 'VERB'), ('Nice', 'PROPN'), ('Show', 'PROPN')]",[],{},['Nice']
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Fun ❤😂,fun,fun,"[('fun', 'NOUN')]",[],{'fun': 'Positive'},[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Bhai perfect time pe toh show nikaley hain Netflix waley.. avi courts may v election ka campaigning chall raha hai.. aur haha YouTube pe ye chall raha hai,bhai perfect time pe toh show nikaley hain netflix waley avi court may v election ka campaigning chall raha hai aur haha youtube pe ye chall raha hai,"The show has come out on the perfect time, the poetry of Netflix is going on in the court and it is going on on YouTube.","[('The', 'DET'), ('show', 'NOUN'), ('has', 'AUX'), ('come', 'VERB'), ('out', 'ADP'), ('on', 'ADP'), ('the', 'DET'), ('perfect', 'ADJ'), ('time', 'NOUN'), (',', 'PUNCT'), ('the', 'DET'), ('poetry', 'NOUN'), ('of', 'ADP'), ('Netflix', 'PROPN'), ('is', 'AUX'), ('going', 'VERB'), ('on', 'ADP'), ('in', 'ADP'), ('the', 'DET'), ('court', 'NOUN'), ('and', 'CCONJ'), ('it', 'PRON'), ('is', 'AUX'), ('going', 'VERB'), ('on', 'ADP'), ('on', 'ADP'), ('YouTube', 'PROPN'), ('.', 'PUNCT')]","['show', 'time', 'poetry', 'court']","{'show': 'Neutral', 'time': 'Neutral', 'poetry': 'Neutral', 'court': 'Neutral'}",[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"Is very funny too
Can you do more episodes if they have ?
Pleaseeee",funny episode pleaseeee,Funny episode pleaseeee,"[('Funny', 'ADJ'), ('episode', 'NOUN'), ('pleaseeee', 'NOUN')]","['episode', 'pleaseeee']","{'episode': 'Neutral', 'pleaseeee': 'Neutral'}",[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,sujhata didi op in chat !,sujhata didi op chat,Consumption sister you chat,"[('Consumption', 'NOUN'), ('sister', 'NOUN'), ('you', 'PRON'), ('chat', 'VERB')]","['consumption', 'sister']","{'Consumption': 'Neutral', 'sister': 'Neutral'}",[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"i love this show man , can't wait for season 2 !",love show man cant wait season,love show man cant wait season,"[('love', 'NOUN'), ('show', 'PROPN'), ('man', 'NOUN'), ('ca', 'AUX'), ('nt', 'PART'), ('wait', 'VERB'), ('season', 'NOUN')]","['love', 'season']","{'love': 'Positive', 'man': 'Neutral', 'season': 'Neutral'}",['show']
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"Vishal: system mai humne dala he nahi hai
China shocked 😂",vishal system mai humne dala nahi hai china shocked,We have not shocked China Shocade in a huge system,"[('We', 'PRON'), ('have', 'AUX'), ('not', 'PART'), ('shocked', 'VERB'), ('China', 'PROPN'), ('Shocade', 'PROPN'), ('in', 'ADP'), ('a', 'DET'), ('huge', 'ADJ'), ('system', 'NOUN')]",['system'],{'system': 'Neutral'},['China']
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"5:51 That Outrageous, Preposturous, Line seems to be inspired from the lawyer Jacky of Jerry Seinfield.",outrageous preposturous line seems inspired lawyer jacky jerry seinfield,Outrageous Preposterous Line Seems Inspired Lawyer Jacky Jerry Seinfeld,"[('Outrageous', 'ADJ'), ('Preposterous', 'PROPN'), ('Line', 'PROPN'), ('Seems', 'VERB'), ('Inspired', 'PROPN'), ('Lawyer', 'PROPN'), ('Jacky', 'PROPN'), ('Jerry', 'PROPN'), ('Seinfeld', 'PROPN')]",[],{},"['Preposterous', 'Inspired', 'Lawyer', 'Jacky', 'Jerry']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,loved this series,loved series,Loveed series,"[('Loveed', 'PROPN'), ('series', 'NOUN')]",['series'],{'series': 'Neutral'},['Loveed']
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,We're is rider op 😭,rider op,rider op,"[('rider', 'NOUN'), ('op', 'NOUN')]",['rider'],"{'rider': 'Neutral', 'op': 'Neutral'}",[]
